name,gender
ranjan,f
shivkumari,f
kayamuddin,m
anaji,f
bhismpal,m
shabuddin,m
brij,m
nootan,m
keshar,f
ankala,m
tara,f
simranjeet,f
ranjan,m
barkha,f
attar,m
anil,f
sarfaraz,m
bindi,f
sehjal,f
amol,m
rohan,m
bhavesh,m
nirosha,f
mangilal,m
budhwanti,f
aftab,m
marukh,m
taniya,f
lakhan,m
riya,f
firakat,m
mohni,f
giri,m
jasmen,f
nafeesa,f
dimpy,m
ayush,m
geetanjali,f
anuja,f
hitesh,m
sujli,f
maharaj,f
tisar,m
parniti,f
rupen,f
shimran,f
mohammad,m
dayaram,m
dalip,m
ajab,m
mustafa,m
tabassum,f
shyama,m
naseef,m
sahaja,f
umasankar,m
bhupendar,m
niranjan,f
santoshi,f
ramphal,m
abbal,m
sakila,f
rafiq,m
nagina,f
salmi,f
dhurve,m
shajiya,f
bansi,m
omkar,m
rithik,m
farhanaz,f
vipan,m
ranki,f
sukshana,f
lokindra,m
yash,m
jannat,f
dakshya,m
naruram,m
mukesh,f
prhalad,m
mahfooj,m
satpal,m
tulasi,f
vasu,f
kala,f
chamanlal,m
arsad,m
shaira,f
navneet,m
dhan,f
mukund,m
gitali,f
dhana,f
maqsood,m
sneh,f
huma,f
tazaudeen,m
safe,m
nandani,f
vishamitra,m
ibrahim,m
babar,m
devendri,f
nishant,m
braj,m
tamsa,f
nayan,m
nwed,m
shelesh,m
sikandar,m
sidharth,m
farhana,f
hagami,f
bitoo,f
raziya,f
salupa,f
gajwanti,f
keshu,f
sugna,f
tanish,m
karanveer,m
sakib,m
charnjeet,f
mota,f
hardik,m
sufia,f
jumman,m
amrik,m
shamsher,m
krishnal,m
kingkar,m
tamnna,f
nila,m
basibul,m
rashimi,f
nipun,m
hassan,m
khurshid,m
bushara,f
tanvi,f
kirtiman,m
manmath,m
seema,m
deepmala,f
raju,f
seta,f
gulab,f
kulbir,m
keli,f
jasbir,f
mazida,f
raghuveer,m
rubbina,f
shami,m
vishvash,m
zeba,f
mansi,f
depali,f
rasid,m
pravendra,m
anandwati,f
dhrampla,m
sameena,f
rinky,f
manjesh,m
mabiya,f
rajeswari,f
gyanu,m
hamsiran,f
ramvihar,m
manuja,f
lavali,f
pushplata,f
ghasiram,m
gauri,m
busness,m
harender,m
nirmal,m
tanuja,f
raghubir,m
rakhila,f
gurmeet,f
gulnaj,f
bhupender,m
mul,m
rishi,m
manvendra,m
beeuty,f
aash,m
imamudeen,m
gurdayal,m
